"","lon","lat"
"179",-82.3017728,27.9903597
"180",-85.80766,30.8740806
"181",-86.9824288,30.7689907
"182",NA,NA
"183",-83.8897057,30.4311978
"184",-81.8224362,30.5927334
"185",-81.909826,26.8946009
"186",-83.2077645,30.0299573
"187",-85.1894045,30.3475302
"188",-82.9501558,30.4755958
"189",-82.820974,29.3178545
"190",-84.8567932,30.1507777
"191",-83.5070203,30.4586334
"192",-82.345189,27.4799195
"193",-82.12784,29.2787765
"194",-80.543845,27.6947732
"195",-82.1713632,29.9723818
"196",-80.7214417,28.263933
"197",-84.6479124,30.5562947
"198",-82.820974,29.6871128
"199",-80.8986502,27.3462015
"200",-81.7787021,27.2142078
"201",-83.1649001,29.5207227
"202",-81.8224362,27.4501733
"203",-81.0754657,26.6105319
"204",-81.2518833,29.4086072
"205",-84.8567932,29.7817695
"206",-82.3017728,29.6579549
"207",-82.3017728,30.3931168
"208",-81.0754657,26.984415
"209",-82.4752757,28.5578826
"210",-85.1894045,30.7150882
"211",-85.684578,30.1805306
"212",-80.4103957,27.0804935
"213",-86.6611083,30.5773401
"214",-83.2934086,33.0338083
"215",-82.2583297,31.712238
"216",-82.8640623,31.2932161
"217",-84.6897495,33.0561282
"218",-83.2077645,34.0990245
"219",-84.5222189,32.328102
"220",-82.5185837,32.1802095
"221",-83.5070203,33.0002582
"222",-84.3962535,33.0881873
"223",-83.8897057,32.9746846
"224",-84.0378894,33.6752492
"225",-84.4802606,31.2816037
"226",-82.5834947,32.3870233
"227",-82.0842901,33.3205339
"228",-84.3121264,33.2636732
"229",-83.2934086,34.5458998
"230",-83.4643551,34.378542
"231",-82.6915429,32.7308194
"232",-85.1479364,34.0132398
"233",-83.4643551,32.232644
"234",-84.6897495,31.7913398
"235",-83.6986568,34.0142667
"236",-81.9971108,31.1510963
"237",-84.4802606,31.7370079
"238",-84.3121264,32.2736136
"239",-82.4319405,31.5412085
"240",-82.345189,32.0795072
"241",-81.7787021,32.3595678
"242",-85.023346,33.0698575
"243",-83.634843,31.6976531
"244",-84.7315563,31.2008218
"245",-84.1857115,31.2230067
"246",-84.3121264,32.9047684
"247",-85.354965,34.6858231
"248",-83.3789389,32.4087854
"249",-84.7315563,34.7928029
"250",-84.8984775,32.4794133
"251",-83.8473015,33.5544296
"252",-83.7199136,34.9208214
"253",-83.0361376,33.9119731
"254",-84.8984775,33.9142037
"255",-83.8260884,32.5892926
"256",-84.4592701,34.4497166
"257",-82.1713632,31.343806
"258",-83.1649001,32.8024682
"259",-83.8897057,31.5282489
"260",-84.9877094,32.4609764
"261",-83.4643551,33.5794186
"262",-84.981754,31.8485969
"263",-83.3773221,33.9480053
"264",NA,NA
"265",-83.4430118,33.8231988
"266",-81.6035062,32.7074673
"267",-84.8984775,30.9331429
"268",-84.5222189,30.8720058
"269",-84.2278796,33.7956441
