"","area_fips","state","city","state_name","city_state","msa_states","msa_cities","area_title"
"43","C3798","PA","Philadelphia","Pennsylvania","Philadelphia PA","PA","Camden","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA"
"44","C3806","AZ","Phoenix","Arizona","Phoenix AZ","AZ","Mesa","Phoenix-Mesa-Scottsdale, AZ MSA"
"45","C3806","AZ","Phoenix","Arizona","Phoenix AZ","AZ","Phoenix","Phoenix-Mesa-Scottsdale, AZ MSA"
"46","C3806","AZ","Phoenix","Arizona","Phoenix AZ","AZ","Scottsdale","Phoenix-Mesa-Scottsdale, AZ MSA"
"47","C3890","OR","Portland","Oregon","Portland OR","OR","Portland","Portland-Vancouver-Hillsboro, OR-WA MSA"
"48","C3890","OR","Portland","Oregon","Portland OR","OR","Vancouver","Portland-Vancouver-Hillsboro, OR-WA MSA"
"49","C3890","OR","Portland","Oregon","Portland OR","OR","Hillsboro","Portland-Vancouver-Hillsboro, OR-WA MSA"
"50","C3890","OR","Portland","Oregon","Portland OR","WA","Vancouver","Portland-Vancouver-Hillsboro, OR-WA MSA"
"51","C3890","OR","Portland","Oregon","Portland OR","WA","Hillsboro","Portland-Vancouver-Hillsboro, OR-WA MSA"
"52","C3890","OR","Portland","Oregon","Portland OR","WA","Portland","Portland-Vancouver-Hillsboro, OR-WA MSA"
"53","C4186","CA","San Francisco","California","San Francisco CA","CA","San Francisco","San Francisco-Oakland-Hayward, CA MSA"
"54","C4186","CA","San Francisco","California","San Francisco CA","CA","Oakland","San Francisco-Oakland-Hayward, CA MSA"
"55","C4186","CA","San Francisco","California","San Francisco CA","CA","Hayward","San Francisco-Oakland-Hayward, CA MSA"
"56","C4266","WA","Seattle","Washington","Seattle WA","WA","Seattle","Seattle-Tacoma-Bellevue, WA MSA"
"57","C4266","WA","Seattle","Washington","Seattle WA","WA","Tacoma","Seattle-Tacoma-Bellevue, WA MSA"
"58","C4266","WA","Seattle","Washington","Seattle WA","WA","Bellevue","Seattle-Tacoma-Bellevue, WA MSA"
