"Program","Location","Companies","Exits","Funding","Average","link","city","state","country","area_fips","area_title","area_descr","msa_state","msa"
"Co.Lab accelerator","Chattanooga, TN US",0,"$                   0","$                   0",,"http://www.seed-db.com/accelerators/viewall?acceleratorid=134007","Chattanooga","TN","US","C1686","Chattanooga, TN-GA MSA","Chattanooga","TN-GA","MSA"
"Code for America Accelerator","San Francisco, CA US",17,"$                   0","$         108,302,805","$           6,370,753","http://www.seed-db.com/accelerators/viewall?acceleratorid=50042","San Francisco","CA","US","C4186","San Francisco-Oakland-Hayward, CA MSA","San Francisco-Oakland-Hayward","CA","MSA"
"Desai Accelerator","Ann Arbor, MI US",16,"$                   0","$           1,240,000","$              77,500","http://www.seed-db.com/accelerators/viewall?acceleratorid=5726148130504704","Ann Arbor","MI","US","C1146","Ann Arbor, MI MSA","Ann Arbor","MI","MSA"
"emerge Xcelerate","Grand Rapids, MI US",0,"$                   0","$                   0",,"http://www.seed-db.com/accelerators/viewall?acceleratorid=5818019456483328","Grand Rapids","MI","US","C2434","Grand Rapids-Wyoming, MI MSA","Grand Rapids-Wyoming","MI","MSA"
"Entrepreneurs Roundtable Accelerator","New York, NY US",20,"$                   0","$          71,327,136","$           3,566,356","http://www.seed-db.com/accelerators/viewall?acceleratorid=2005","New York","NY","US","C3562","New York-Newark-Jersey City, NY-NJ-PA MSA","New York-Newark-Jersey City","NY-NJ-PA","MSA"
"Excelerate Labs","Chicago, IL US",30,"$          19,500,000","$          90,607,664","$           3,020,255","http://www.seed-db.com/accelerators/viewall?acceleratorid=1003","Chicago","IL","US","C1698","Chicago-Naperville-Elgin, IL-IN-WI MSA","Chicago-Naperville-Elgin","IL-IN-WI","MSA"
"fbFund","Silicon Valley, CA US",45,"$         359,500,000","$         112,151,039","$           2,492,245","http://www.seed-db.com/accelerators/viewall?acceleratorid=7002","San Jose","CA","US","C4194","San Jose-Sunnyvale-Santa Clara, CA MSA","San Jose-Sunnyvale-Santa Clara","CA","MSA"
"Flashpoint","Atlanta, Georgia US",59,"$                   0","$         278,189,727","$           4,715,080","http://www.seed-db.com/accelerators/viewall?acceleratorid=2006","Atlanta","GA","US","C1206","Atlanta-Sandy Springs-Roswell, GA MSA","Atlanta-Sandy Springs-Roswell","GA","MSA"
"Flashstarts","Cleveland, OH US",23,"$                   0","$          10,876,661","$             472,898","http://www.seed-db.com/accelerators/viewall?acceleratorid=589005","Cleveland","OH","US","C1746","Cleveland-Elyria, OH MSA","Cleveland-Elyria","OH","MSA"
"Fortify Ventures - Accelerator","Washington, DC US",0,"$                   0","$                   0",,"http://www.seed-db.com/accelerators/viewall?acceleratorid=715001","Washington","DC","US","C4790","Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","Washington-Arlington-Alexandria","DC-VA-MD-WV","MSA"
"GazelleLab","Tampa Bay, FL US",9,"$                   0","$              50,000","$               5,555","http://www.seed-db.com/accelerators/viewall?acceleratorid=3004","Tampa Bay","FL","US",,,,,
"Global Insurance Accelerator","Des Moines, IA US",12,"$                   0","$           1,961,300","$             163,441","http://www.seed-db.com/accelerators/viewall?acceleratorid=5683774385815552","Des Moines","IA","US","C1978","Des Moines-West Des Moines, IA MSA","Des Moines-West Des Moines","IA","MSA"
"Hatch","Norfolk, VA US",5,"$                   0","$              26,700","$               5,340","http://www.seed-db.com/accelerators/viewall?acceleratorid=263013","Norfolk","VA","US","C4726","Virginia Beach-Norfolk-Newport News, VA-NC MSA","Virginia Beach-Norfolk-Newport News","VA-NC","MSA"
"Highway1","Silicon Valley, CA US",0,"$                   0","$                   0",,"http://www.seed-db.com/accelerators/viewall?acceleratorid=2579002","San Jose","CA","US","C4194","San Jose-Sunnyvale-Santa Clara, CA MSA","San Jose-Sunnyvale-Santa Clara","CA","MSA"
"Hub Ventures","San Francisco, CA US",8,"$                   0","$             147,500","$              18,437","http://www.seed-db.com/accelerators/viewall?acceleratorid=6005","San Francisco","CA","US","C4186","San Francisco-Oakland-Hayward, CA MSA","San Francisco-Oakland-Hayward","CA","MSA"
"i/o ventures","Silicon Valley, CA US",16,"$           4,850,000","$          41,475,000","$           2,592,187","http://www.seed-db.com/accelerators/viewall?acceleratorid=1006","San Jose","CA","US","C4194","San Jose-Sunnyvale-Santa Clara, CA MSA","San Jose-Sunnyvale-Santa Clara","CA","MSA"
"Illumina Accelerator Program","San Francisco, CA US",0,"$                   0","$                   0",,"http://www.seed-db.com/accelerators/viewall?acceleratorid=5884898489401344","San Francisco","CA","US","C4186","San Francisco-Oakland-Hayward, CA MSA","San Francisco-Oakland-Hayward","CA","MSA"
"Imagine K12","Silicon Valley, CA US",76,"$           5,000,000","$         268,764,167","$           3,536,370","http://www.seed-db.com/accelerators/viewall?acceleratorid=6006","San Jose","CA","US","C4194","San Jose-Sunnyvale-Santa Clara, CA MSA","San Jose-Sunnyvale-Santa Clara","CA","MSA"
"ImpactEngine","Chicago, IL US",8,"$                   0","$          25,085,048","$           3,135,631","http://www.seed-db.com/accelerators/viewall?acceleratorid=299002","Chicago","IL","US","C1698","Chicago-Naperville-Elgin, IL-IN-WI MSA","Chicago-Naperville-Elgin","IL-IN-WI","MSA"
"Incubate Miami","Miami, FL US",0,"$                   0","$                   0",,"http://www.seed-db.com/accelerators/viewall?acceleratorid=58041","Miami","FL","US","C3310","Miami-Fort Lauderdale-West Palm Beach, FL MSA","Miami-Fort Lauderdale-West Palm Beach","FL","MSA"
"InnoSpring","Santa Clara, CA US",12,"$                   0","$          20,095,359","$           1,674,613","http://www.seed-db.com/accelerators/viewall?acceleratorid=20001","Santa Clara","CA","US","C4194","San Jose-Sunnyvale-Santa Clara, CA MSA","San Jose-Sunnyvale-Santa Clara","CA","MSA"
"Innov8 for Health","Cincinatti, OH US",8,"$                   0","$                   0",,"http://www.seed-db.com/accelerators/viewall?acceleratorid=80001","Cincinatti","OH","US",,,,,
"Iowa Startup Accelerator","Cedar Rapids, IA US",9,"$                   0","$             735,073","$              81,674","http://www.seed-db.com/accelerators/viewall?acceleratorid=5213879441293312","Cedar Rapids","IA","US","C1630","Cedar Rapids, IA MSA","Cedar Rapids","IA","MSA"
"iVentures10","Champaign, IL US",11,"$                   0","$          10,693,497","$             972,136","http://www.seed-db.com/accelerators/viewall?acceleratorid=1007","Champaign","IL","US","C1658","Champaign-Urbana, IL MSA","Champaign-Urbana","IL","MSA"
"JumpStartFoundry","Nashville, TN US",21,"$                   0","$          26,500,026","$           1,261,906","http://www.seed-db.com/accelerators/viewall?acceleratorid=5004","Nashville","TN","US","C3498","Nashville-Davidson--Murfreesboro--Franklin, TN MSA","Nashville-Davidson--Murfreesboro--Franklin","TN","MSA"
"K5Launch","Los Angeles, CA US",15,"$                   0","$          12,671,999","$             844,799","http://www.seed-db.com/accelerators/viewall?acceleratorid=350001","Los Angeles","CA","US","C3108","Los Angeles-Long Beach-Anaheim, CA MSA","Los Angeles-Long Beach-Anaheim","CA","MSA"
"K5Launch","Los Angeles, CA US",15,"$                   0","$          12,671,999","$             844,799","http://www.seed-db.com/accelerators/viewall?acceleratorid=350001","Los Angeles","CA","US","C3110","Los Angeles-Long Beach-Santa Ana, CA MSA","Los Angeles-Long Beach-Santa Ana","CA","MSA"
"LAUNCH incubator","San Francisco, CA US",7,"$                   0","$           5,623,980","$             803,425","http://www.seed-db.com/accelerators/viewall?acceleratorid=5651326834835456","San Francisco","CA","US","C4186","San Francisco-Oakland-Hayward, CA MSA","San Francisco-Oakland-Hayward","CA","MSA"
"LaunchBox Digital","Washington, DC US",24,"$           6,000,000","$          16,775,000","$             698,958","http://www.seed-db.com/accelerators/viewall?acceleratorid=8004","Washington","DC","US","C4790","Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","Washington-Arlington-Alexandria","DC-VA-MD-WV","MSA"
"LaunchHouse","Cleveland, OH US",10,"$                   0","$           2,550,000","$             255,000","http://www.seed-db.com/accelerators/viewall?acceleratorid=287009","Cleveland","OH","US","C1746","Cleveland-Elyria, OH MSA","Cleveland-Elyria","OH","MSA"
"LaunchPad Long Island","Mineola, NY US",0,"$                   0","$                   0",,"http://www.seed-db.com/accelerators/viewall?acceleratorid=1089001","Mineola","NY","US",,,,,
"LaunchpadLA","Los Angeles, CA US",33,"$          45,000,000","$         193,784,476","$           5,872,256","http://www.seed-db.com/accelerators/viewall?acceleratorid=8005","Los Angeles","CA","US","C3108","Los Angeles-Long Beach-Anaheim, CA MSA","Los Angeles-Long Beach-Anaheim","CA","MSA"
"LaunchpadLA","Los Angeles, CA US",33,"$          45,000,000","$         193,784,476","$           5,872,256","http://www.seed-db.com/accelerators/viewall?acceleratorid=8005","Los Angeles","CA","US","C3110","Los Angeles-Long Beach-Santa Ana, CA MSA","Los Angeles-Long Beach-Santa Ana","CA","MSA"
"Lean Launch Ventures","Stamford, CT US",6,"$                   0","$                   0",,"http://www.seed-db.com/accelerators/viewall?acceleratorid=324003","Stamford","CT","US","C1486","Bridgeport-Stamford-Norwalk, CT MSA","Bridgeport-Stamford-Norwalk","CT","MSA"
"LearnLaunchX","Boston, MA US",14,"$                   0","$           2,111,564","$             150,826","http://www.seed-db.com/accelerators/viewall?acceleratorid=1375001","Boston","MA","US","C1446","Boston-Cambridge-Newton, MA-NH MSA","Boston-Cambridge-Newton","MA-NH","MSA"
"Matter.","San Francisco, CA US",25,"$                   0","$           7,947,894","$             317,915","http://www.seed-db.com/accelerators/viewall?acceleratorid=614002","San Francisco","CA","US","C4186","San Francisco-Oakland-Hayward, CA MSA","San Francisco-Oakland-Hayward","CA","MSA"
"Media Camp","San Francisco, CA / Los Angeles, CA US",16,"$                   0","$          42,043,717","$           2,627,732","http://www.seed-db.com/accelerators/viewall?acceleratorid=926002"," Los Angeles","CA","US",,,,,
"Mergelane","Boulder, CO US",18,"$                   0","$          18,315,000","$           1,017,500","http://www.seed-db.com/accelerators/viewall?acceleratorid=5760966956417024","Boulder","CO","US","C1450","Boulder, CO MSA","Boulder","CO","MSA"
"MindTheBridge","Silicon Valley, CA US",0,"$                   0","$                   0",,"http://www.seed-db.com/accelerators/viewall?acceleratorid=279007","San Jose","CA","US","C4194","San Jose-Sunnyvale-Santa Clara, CA MSA","San Jose-Sunnyvale-Santa Clara","CA","MSA"
"Momentum","Grand Rapids, MI US",11,"$                   0","$           8,366,271","$             760,570","http://www.seed-db.com/accelerators/viewall?acceleratorid=3007","Grand Rapids","MI","US","C2434","Grand Rapids-Wyoming, MI MSA","Grand Rapids-Wyoming","MI","MSA"
"Mucker Lab","Santa Monica, CA US",27,"$                   0","$         298,621,857","$          11,060,068","http://www.seed-db.com/accelerators/viewall?acceleratorid=6008","Santa Monica","CA","US",,,,,
"New York Digital Health Accelerator","New York, NY US",21,"$                   0","$         140,242,554","$           6,678,216","http://www.seed-db.com/accelerators/viewall?acceleratorid=237002","New York","NY","US","C3562","New York-Newark-Jersey City, NY-NJ-PA MSA","New York-Newark-Jersey City","NY-NJ-PA","MSA"
"NextHIT","Houston, TX US",0,"$                   0","$                   0",,"http://www.seed-db.com/accelerators/viewall?acceleratorid=5768182484697088","Houston","TX","US","C2642","Houston-The Woodlands-Sugar Land, TX MSA","Houston-The Woodlands-Sugar Land","TX","MSA"
"NextStart","Greenville, SC US",4,"$                   0","$                   0",,"http://www.seed-db.com/accelerators/viewall?acceleratorid=3008","Greenville","SC","US","C2486","Greenville-Anderson-Mauldin, SC MSA","Greenville-Anderson-Mauldin","SC","MSA"
"NMotion","Lincoln, NE US",12,"$                   0","$             330,000","$              27,500","http://www.seed-db.com/accelerators/viewall?acceleratorid=589004","Lincoln","NE","US","C3070","Lincoln, NE MSA","Lincoln","NE","MSA"
"NYC SeedStart","New York, NY US",21,"$         130,000,000","$         172,176,000","$           8,198,857","http://www.seed-db.com/accelerators/viewall?acceleratorid=7004","New York","NY","US","C3562","New York-Newark-Jersey City, NY-NJ-PA MSA","New York-Newark-Jersey City","NY-NJ-PA","MSA"
"Plug and Play Startup Camp","Silicon Valley, CA US",0,"$                   0","$                   0",,"http://www.seed-db.com/accelerators/viewall?acceleratorid=83002","San Jose","CA","US","C4194","San Jose-Sunnyvale-Santa Clara, CA MSA","San Jose-Sunnyvale-Santa Clara","CA","MSA"
"Portland Incubator Experiment (PIE)","Portland, OR US",30,"$           5,600,000","$         140,215,303","$           4,673,843","http://www.seed-db.com/accelerators/viewall?acceleratorid=8006","Portland","OR","US","C3890","Portland-Vancouver-Hillsboro, OR-WA MSA","Portland-Vancouver-Hillsboro","OR-WA","MSA"
"Portland Seed Fund","Portland, OR US",23,"$                   0","$          70,166,831","$           3,050,731","http://www.seed-db.com/accelerators/viewall?acceleratorid=1008","Portland","OR","US","C3890","Portland-Vancouver-Hillsboro, OR-WA MSA","Portland-Vancouver-Hillsboro","OR-WA","MSA"
"Project Skyway","Minneapolis, MN US",9,"$                   0","$           1,530,000","$             170,000","http://www.seed-db.com/accelerators/viewall?acceleratorid=222002","Minneapolis","MN","US","C3346","Minneapolis-St. Paul-Bloomington, MN-WI MSA","Minneapolis-St. Paul-Bloomington","MN-WI","MSA"
"Prosper Capital Accelerator","St. Louis, MO US",6,"$                   0","$           2,169,000","$             361,500","http://www.seed-db.com/accelerators/viewall?acceleratorid=5764593871749120","St. Louis","MO","US","C4118","St. Louis, MO-IL MSA","St. Louis","MO-IL","MSA"
"RockHealth","San Francisco, CA US",49,"$             500,000","$         317,521,698","$           6,480,034","http://www.seed-db.com/accelerators/viewall?acceleratorid=8008","San Francisco","CA","US","C4186","San Francisco-Oakland-Hayward, CA MSA","San Francisco-Oakland-Hayward","CA","MSA"
"Seed Hatchery","Memphis, TN US",18,"$                   0","$           2,754,302","$             153,016","http://www.seed-db.com/accelerators/viewall?acceleratorid=1030003","Memphis","TN","US","C3282","Memphis, TN-MS-AR MSA","Memphis","TN-MS-AR","MSA"
"SeedSumo","College Station, TX US",17,"$                   0","$           2,388,500","$             140,500","http://www.seed-db.com/accelerators/viewall?acceleratorid=5955001","College Station","TX","US","C1778","College Station-Bryan, TX MSA","College Station-Bryan","TX","MSA"
"Shotput Ventures","Atlanta, Georgia US",9,"$           2,000,000","$             257,500","$              28,611","http://www.seed-db.com/accelerators/viewall?acceleratorid=2008","Atlanta","GA","US","C1206","Atlanta-Sandy Springs-Roswell, GA MSA","Atlanta-Sandy Springs-Roswell","GA","MSA"
"SixThirty","St. Louis, MO US",15,"$                   0","$          46,698,274","$           3,113,218","http://www.seed-db.com/accelerators/viewall?acceleratorid=5643944717189120","St. Louis","MO","US","C4118","St. Louis, MO-IL MSA","St. Louis","MO-IL","MSA"
"Socratic Labs","New York, NY US",7,"$                   0","$           1,135,000","$             162,142","http://www.seed-db.com/accelerators/viewall?acceleratorid=941001","New York","NY","US","C3562","New York-Newark-Jersey City, NY-NJ-PA MSA","New York-Newark-Jersey City","NY-NJ-PA","MSA"
"Spark Lab KC","Kansas City, MO US",10,"$                   0","$           1,662,000","$             166,200","http://www.seed-db.com/accelerators/viewall?acceleratorid=5649952705347584","Kansas City","MO","US","C2814","Kansas City, MO-KS MSA","Kansas City","MO-KS","MSA"
"Sparkgap","Memphis, TN US",0,"$                   0","$                   0",,"http://www.seed-db.com/accelerators/viewall?acceleratorid=4738503199948800","Memphis","TN","US","C3282","Memphis, TN-MS-AR MSA","Memphis","TN-MS-AR","MSA"
"StartEngine","Los Angeles, CA US",34,"$                   0","$           6,916,000","$             203,411","http://www.seed-db.com/accelerators/viewall?acceleratorid=101001","Los Angeles","CA","US","C3108","Los Angeles-Long Beach-Anaheim, CA MSA","Los Angeles-Long Beach-Anaheim","CA","MSA"
"StartEngine","Los Angeles, CA US",34,"$                   0","$           6,916,000","$             203,411","http://www.seed-db.com/accelerators/viewall?acceleratorid=101001","Los Angeles","CA","US","C3110","Los Angeles-Long Beach-Santa Ana, CA MSA","Los Angeles-Long Beach-Santa Ana","CA","MSA"
"StartFast Venture Accelerator","Syracuse, NY US",13,"$                   0","$           4,078,000","$             313,692","http://www.seed-db.com/accelerators/viewall?acceleratorid=5007","Syracuse","NY","US","C4506","Syracuse, NY MSA","Syracuse","NY","MSA"
"Startl","New York, NY US",0,"$                   0","$                   0",,"http://www.seed-db.com/accelerators/viewall?acceleratorid=7005","New York","NY","US","C3562","New York-Newark-Jersey City, NY-NJ-PA MSA","New York-Newark-Jersey City","NY-NJ-PA","MSA"
"Straight Shot","Omaha, NE US",21,"$                   0","$           4,585,200","$             218,342","http://www.seed-db.com/accelerators/viewall?acceleratorid=5709156346494976","Omaha","NE","US","C3654","Omaha-Council Bluffs, NE-IA MSA","Omaha-Council Bluffs","NE-IA","MSA"
"Summer @ Highland","Cambridge, MA; Menlo Park, CA US",0,"$                   0","$                   0",,"http://www.seed-db.com/accelerators/viewall?acceleratorid=1009","Menlo Park","CA","US",,,,,
"SURGE","Houston, TX US",22,"$                   0","$          31,604,500","$           1,436,568","http://www.seed-db.com/accelerators/viewall?acceleratorid=5008","Houston","TX","US","C2642","Houston-The Woodlands-Sugar Land, TX MSA","Houston-The Woodlands-Sugar Land","TX","MSA"
"Tandem","Silicon Valley, CA US",0,"$                   0","$                   0",,"http://www.seed-db.com/accelerators/viewall?acceleratorid=278011","San Jose","CA","US","C4194","San Jose-Sunnyvale-Santa Clara, CA MSA","San Jose-Sunnyvale-Santa Clara","CA","MSA"
"Tech Wildcatters","Dallas, TX US",26,"$                   0","$          22,420,109","$             862,311","http://www.seed-db.com/accelerators/viewall?acceleratorid=8009","Dallas","TX","US","C1910","Dallas-Fort Worth-Arlington, TX MSA","Dallas-Fort Worth-Arlington","TX","MSA"
"Telluride Venture Accelerator","Telluride, CO US",15,"$                   0","$           9,662,835","$             644,189","http://www.seed-db.com/accelerators/viewall?acceleratorid=264002","Telluride","CO","US",,,,,
"The Alchemist Accelerator","Silicon Valley, CA US",185,"$                   0","$         346,727,807","$           1,874,204","http://www.seed-db.com/accelerators/viewall?acceleratorid=43001","San Jose","CA","US","C4194","San Jose-Sunnyvale-Santa Clara, CA MSA","San Jose-Sunnyvale-Santa Clara","CA","MSA"
"The Ark","Fayetteville, AR US",35,"$                   0","$           1,251,666","$              35,761","http://www.seed-db.com/accelerators/viewall?acceleratorid=49047","Fayetteville","AR","US","C2222","Fayetteville-Springdale-Rogers, AR-MO MSA","Fayetteville-Springdale-Rogers","AR-MO","MSA"
"The Brandery","Cincinnati, OH US",44,"$                   0","$          87,375,432","$           1,985,805","http://www.seed-db.com/accelerators/viewall?acceleratorid=2004","Cincinnati","OH","US","C1714","Cincinnati, OH-KY-IN MSA","Cincinnati","OH-KY-IN","MSA"
"The Iron Yard","Greenville and Spartanburg, SC US",10,"$                   0","$           2,000,000","$             200,000","http://www.seed-db.com/accelerators/viewall?acceleratorid=7008","Greenville","SC","US","C2486","Greenville-Anderson-Mauldin, SC MSA","Greenville-Anderson-Mauldin","SC","MSA"
"The Yield Lab","St. Louis, MO US",7,"$                   0","$          23,452,336","$           3,350,333","http://www.seed-db.com/accelerators/viewall?acceleratorid=5667465501605888","St. Louis","MO","US","C4118","St. Louis, MO-IL MSA","St. Louis","MO-IL","MSA"
"Think Big Partners Accelerator","Kansas City, MO US",0,"$                   0","$                   0",,"http://www.seed-db.com/accelerators/viewall?acceleratorid=1909001","Kansas City","MO","US","C2814","Kansas City, MO-KS MSA","Kansas City","MO-KS","MSA"
"Triangle Startup Factory","Durham, NC US",6,"$                   0","$           2,835,970","$             472,661","http://www.seed-db.com/accelerators/viewall?acceleratorid=1010","Durham","NC","US","C2050","Durham-Chapel Hill, NC MSA","Durham-Chapel Hill","NC","MSA"
"Tumml","San Francisco, CA US",18,"$                   0","$           4,865,000","$             270,277","http://www.seed-db.com/accelerators/viewall?acceleratorid=5730485825175552","San Francisco","CA","US","C4186","San Francisco-Oakland-Hayward, CA MSA","San Francisco-Oakland-Hayward","CA","MSA"
"Upstart Memphis","Memphis, TN US",4,"$                   0","$              15,000","$               3,750","http://www.seed-db.com/accelerators/viewall?acceleratorid=6269921033977856","Memphis","TN","US","C3282","Memphis, TN-MS-AR MSA","Memphis","TN-MS-AR","MSA"
"Upwest Labs","Silicon Valley, CA US",42,"$                   0","$         244,961,189","$           5,832,409","http://www.seed-db.com/accelerators/viewall?acceleratorid=98001","San Jose","CA","US","C4194","San Jose-Sunnyvale-Santa Clara, CA MSA","San Jose-Sunnyvale-Santa Clara","CA","MSA"
"Velocity Indiana Accelerator","Jeffersonville, IN US",21,"$                   0","$           5,449,000","$             259,476","http://www.seed-db.com/accelerators/viewall?acceleratorid=1725001","Jeffersonville","IN","US",,,,,
"VentureHive","Miami, FL US",0,"$                   0","$                   0",,"http://www.seed-db.com/accelerators/viewall?acceleratorid=267008","Miami","FL","US","C3310","Miami-Fort Lauderdale-West Palm Beach, FL MSA","Miami-Fort Lauderdale-West Palm Beach","FL","MSA"
"VictorySpark","Milwaukee, WI US",8,"$                   0","$                   0",,"http://www.seed-db.com/accelerators/viewall?acceleratorid=121006","Milwaukee","WI","US","C3334","Milwaukee-Waukesha-West Allis, WI MSA","Milwaukee-Waukesha-West Allis","WI","MSA"
"Women Innovate Mobile","New York, NY US",4,"$                   0","$             750,000","$             187,500","http://www.seed-db.com/accelerators/viewall?acceleratorid=5009","New York","NY","US","C3562","New York-Newark-Jersey City, NY-NJ-PA MSA","New York-Newark-Jersey City","NY-NJ-PA","MSA"
"XLerateHealth","Louisville, KY US",12,"$                   0","$              30,000","$               2,500","http://www.seed-db.com/accelerators/viewall?acceleratorid=641003","Louisville","KY","US","C3114","Louisville-Jefferson County, KY-IN MSA","Louisville-Jefferson County","KY-IN","MSA"
"XLR8HI","Honolulu, HI US",0,"$                   0","$                   0",,"http://www.seed-db.com/accelerators/viewall?acceleratorid=358002","Honolulu","HI","US","C2618","Honolulu, HI MSA","Honolulu","HI","MSA"
"Y Combinator","Silicon Valley, CA US",1276,"$       3,860,233,100","$      15,319,049,033","$          12,005,524","http://www.seed-db.com/accelerators/viewall?acceleratorid=1011","San Jose","CA","US","C4194","San Jose-Sunnyvale-Santa Clara, CA MSA","San Jose-Sunnyvale-Santa Clara","CA","MSA"
"ZeroTo510","Memphis, TN US",6,"$                   0","$           1,214,000","$             202,333","http://www.seed-db.com/accelerators/viewall?acceleratorid=1027003","Memphis","TN","US","C3282","Memphis, TN-MS-AR MSA","Memphis","TN-MS-AR","MSA"
