"","Program","Location","Companies","Exits","Funding","Average","link"
"43","Excelerate Labs","Chicago, IL US",30,"$          19,500,000","$          90,607,664","$           3,020,255","http://www.seed-db.com/accelerators/viewall?acceleratorid=1003"
"44","Extreme University","Toronto CA",8,"$                   0","$           3,142,398","$             392,799","http://www.seed-db.com/accelerators/viewall?acceleratorid=6003"
"45","fbFund","Silicon Valley, CA US",45,"$         359,500,000","$         112,151,039","$           2,492,245","http://www.seed-db.com/accelerators/viewall?acceleratorid=7002"
"46","Female Propeller for High Flyers","Dublin IE",0,"$                   0","$                   0","","http://www.seed-db.com/accelerators/viewall?acceleratorid=4865454514372608"
"47","Flashpoint","Atlanta, Georgia US",59,"$                   0","$         278,189,727","$           4,715,080","http://www.seed-db.com/accelerators/viewall?acceleratorid=2006"
"48","Flashstarts","Cleveland, OH US",23,"$                   0","$          10,876,661","$             472,898","http://www.seed-db.com/accelerators/viewall?acceleratorid=589005"
"49","Flat6 Labs","Giza EG",18,"$                   0","$             317,000","$              17,611","http://www.seed-db.com/accelerators/viewall?acceleratorid=9001"
"50","Fortify Ventures - Accelerator","Washington, DC US",0,"$                   0","$                   0","","http://www.seed-db.com/accelerators/viewall?acceleratorid=715001"
"51","FounderFuel","Montreal CA",69,"$                   0","$          85,524,287","$           1,239,482","http://www.seed-db.com/accelerators/viewall?acceleratorid=1004"
"52","GameFounders","Tallinn EE",21,"$                   0","$             969,223","$              46,153","http://www.seed-db.com/accelerators/viewall?acceleratorid=91001"
"53","GammaRebels","Krakow PL",14,"$                   0","$           2,253,665","$             160,976","http://www.seed-db.com/accelerators/viewall?acceleratorid=93003"
"54","GazelleLab","Tampa Bay, FL US",9,"$                   0","$              50,000","$               5,555","http://www.seed-db.com/accelerators/viewall?acceleratorid=3004"
"55","gener8tor","Madison, Milwaukee, Minneapolis US",38,"$                   0","$          89,658,694","$           2,359,439","http://www.seed-db.com/accelerators/viewall?acceleratorid=263012"
"56","Global Insurance Accelerator","Des Moines, IA US",12,"$                   0","$           1,961,300","$             163,441","http://www.seed-db.com/accelerators/viewall?acceleratorid=5683774385815552"
"57","H-Farm Ventures","Treviso IT",0,"$                   0","$                   0","","http://www.seed-db.com/accelerators/viewall?acceleratorid=5003"
"58","HackFWD","Hamburg DE",0,"$                   0","$                   0","","http://www.seed-db.com/accelerators/viewall?acceleratorid=7003"
"59","Hatch","Norfolk, VA US",5,"$                   0","$              26,700","$               5,340","http://www.seed-db.com/accelerators/viewall?acceleratorid=263013"
"60","HAXLR8R","Shenzhen, China & Silicon Valley, CA CN",39,"$                   0","$          47,882,958","$           1,227,768","http://www.seed-db.com/accelerators/viewall?acceleratorid=1005"
"61","Healthbox","Worldwide N/A",27,"$                   0","$          37,016,221","$           1,370,971","http://www.seed-db.com/accelerators/viewall?acceleratorid=6004"
"62","Highline","Toronto CA",25,"$                   0","$          30,873,263","$           1,234,930","http://www.seed-db.com/accelerators/viewall?acceleratorid=4002"
"63","Highway1","Silicon Valley, CA US",0,"$                   0","$                   0","","http://www.seed-db.com/accelerators/viewall?acceleratorid=2579002"
"64","Hub Ventures","San Francisco, CA US",8,"$                   0","$             147,500","$              18,437","http://www.seed-db.com/accelerators/viewall?acceleratorid=6005"
"65","HugeThing","Poznan PL",7,"$                   0","$               9,000","$               1,285","http://www.seed-db.com/accelerators/viewall?acceleratorid=125002"
"66","i/o ventures","Silicon Valley, CA US",16,"$           4,850,000","$          41,475,000","$           2,592,187","http://www.seed-db.com/accelerators/viewall?acceleratorid=1006"
"67","i360accelerator","Dubai AE",0,"$                   0","$                   0","","http://www.seed-db.com/accelerators/viewall?acceleratorid=5700305828184064"
"68","iAccelerator","Bangalore IN",0,"$                   0","$                   0","","http://www.seed-db.com/accelerators/viewall?acceleratorid=8002"
"69","IDC Elevator","Tel Aviv IL",0,"$                   0","$                   0","","http://www.seed-db.com/accelerators/viewall?acceleratorid=3005"
"70","ignite100","Newcastle-upon-Tyne, England UK",30,"$                   0","$          34,151,887","$           1,138,396","http://www.seed-db.com/accelerators/viewall?acceleratorid=4003"
"71","Illumina Accelerator Program","San Francisco, CA US",0,"$                   0","$                   0","","http://www.seed-db.com/accelerators/viewall?acceleratorid=5884898489401344"
"72","Imagine K12","Silicon Valley, CA US",76,"$           5,000,000","$         268,764,167","$           3,536,370","http://www.seed-db.com/accelerators/viewall?acceleratorid=6006"
"73","ImpactEngine","Chicago, IL US",8,"$                   0","$          25,085,048","$           3,135,631","http://www.seed-db.com/accelerators/viewall?acceleratorid=299002"
"74","Incubate","Sydney AU",8,"$                   0","$                   0","","http://www.seed-db.com/accelerators/viewall?acceleratorid=1101001"
"75","Incubate Miami","Miami, FL US",0,"$                   0","$                   0","","http://www.seed-db.com/accelerators/viewall?acceleratorid=58041"
"76","InnoSpring","Santa Clara, CA US",12,"$                   0","$          20,095,359","$           1,674,613","http://www.seed-db.com/accelerators/viewall?acceleratorid=20001"
"77","Innov8 for Health","Cincinatti, OH US",8,"$                   0","$                   0","","http://www.seed-db.com/accelerators/viewall?acceleratorid=80001"
"78","innovyz start","Adelaide AU",20,"$                   0","$           1,825,927","$              91,296","http://www.seed-db.com/accelerators/viewall?acceleratorid=8003"
"79","Iowa Startup Accelerator","Cedar Rapids, IA US",9,"$                   0","$             735,073","$              81,674","http://www.seed-db.com/accelerators/viewall?acceleratorid=5213879441293312"
"80","iVentures10","Champaign, IL US",11,"$                   0","$          10,693,497","$             972,136","http://www.seed-db.com/accelerators/viewall?acceleratorid=1007"
"81","JFDI.Asia","Singapore SG",27,"$                   0","$          14,593,300","$             540,492","http://www.seed-db.com/accelerators/viewall?acceleratorid=3006"
"82","JLAB (John Lewis)","London UK",0,"$                   0","$                   0","","http://www.seed-db.com/accelerators/viewall?acceleratorid=4865044546322432"
"83","Jolt","Toronto CA",17,"$          20,000,000","$           4,749,965","$             279,409","http://www.seed-db.com/accelerators/viewall?acceleratorid=90001"
"84","JumpStartFoundry","Nashville, TN US",21,"$                   0","$          26,500,026","$           1,261,906","http://www.seed-db.com/accelerators/viewall?acceleratorid=5004"
"85","K5Launch","Los Angeles, CA US",15,"$                   0","$          12,671,999","$             844,799","http://www.seed-db.com/accelerators/viewall?acceleratorid=350001"
"86","LAUNCH incubator","San Francisco, CA US",7,"$                   0","$           5,623,980","$             803,425","http://www.seed-db.com/accelerators/viewall?acceleratorid=5651326834835456"
"87","LaunchBox Digital","Washington, DC US",24,"$           6,000,000","$          16,775,000","$             698,958","http://www.seed-db.com/accelerators/viewall?acceleratorid=8004"
"88","LaunchHouse","Cleveland, OH US",10,"$                   0","$           2,550,000","$             255,000","http://www.seed-db.com/accelerators/viewall?acceleratorid=287009"
"89","LaunchPad Long Island","Mineola, NY US",0,"$                   0","$                   0","","http://www.seed-db.com/accelerators/viewall?acceleratorid=1089001"
"90","LaunchpadLA","Los Angeles, CA US",33,"$          45,000,000","$         193,784,476","$           5,872,256","http://www.seed-db.com/accelerators/viewall?acceleratorid=8005"
"91","LAUNCHub","Sofia BG",11,"$                   0","$           3,155,189","$             286,835","http://www.seed-db.com/accelerators/viewall?acceleratorid=338001"
"92","Le Camping","Paris FR",48,"$          10,000,000","$          24,459,425","$             509,571","http://www.seed-db.com/accelerators/viewall?acceleratorid=6279014150832128"
"93","Lean Launch Ventures","Stamford, CT US",6,"$                   0","$                   0","","http://www.seed-db.com/accelerators/viewall?acceleratorid=324003"
"94","LearnLaunchX","Boston, MA US",14,"$                   0","$           2,111,564","$             150,826","http://www.seed-db.com/accelerators/viewall?acceleratorid=1375001"
"95","LightningLab","Wellington NZ",19,"$                   0","$           2,051,500","$             107,973","http://www.seed-db.com/accelerators/viewall?acceleratorid=268003"
"96","Matter.","San Francisco, CA US",25,"$                   0","$           7,947,894","$             317,915","http://www.seed-db.com/accelerators/viewall?acceleratorid=614002"
"97","Media Camp","San Francisco, CA / Los Angeles, CA US",16,"$                   0","$          42,043,717","$           2,627,732","http://www.seed-db.com/accelerators/viewall?acceleratorid=926002"
"98","Melbourne Accelerator Program","Melbourne AU",28,"$                   0","$           8,516,791","$             304,171","http://www.seed-db.com/accelerators/viewall?acceleratorid=1091001"
"99","Mergelane","Boulder, CO US",18,"$                   0","$          18,315,000","$           1,017,500","http://www.seed-db.com/accelerators/viewall?acceleratorid=5760966956417024"
"100","Metavallon","Athens GR",4,"$                   0","$              16,819","$               4,204","http://www.seed-db.com/accelerators/viewall?acceleratorid=5726413743194112"
"101","Microsoft Ventures Accelerator Tel Aviv","Herzliya IL",7,"$                   0","$         259,000,000","$          37,000,000","http://www.seed-db.com/accelerators/viewall?acceleratorid=266005"
"102","MindTheBridge","Silicon Valley, CA US",0,"$                   0","$                   0","","http://www.seed-db.com/accelerators/viewall?acceleratorid=279007"
"103","Momentum","Grand Rapids, MI US",11,"$                   0","$           8,366,271","$             760,570","http://www.seed-db.com/accelerators/viewall?acceleratorid=3007"
"104","Mucker Lab","Santa Monica, CA US",27,"$                   0","$         298,621,857","$          11,060,068","http://www.seed-db.com/accelerators/viewall?acceleratorid=6008"
"105","NDRC (LaunchPad / VentureLab)","Dublin IE",0,"$                   0","$                   0","","http://www.seed-db.com/accelerators/viewall?acceleratorid=2007"
"106","New York Digital Health Accelerator","New York, NY US",21,"$                   0","$         140,242,554","$           6,678,216","http://www.seed-db.com/accelerators/viewall?acceleratorid=237002"
"107","NextHIT","Houston, TX US",0,"$                   0","$                   0","","http://www.seed-db.com/accelerators/viewall?acceleratorid=5768182484697088"
"108","NextStart","Greenville, SC US",4,"$                   0","$                   0","","http://www.seed-db.com/accelerators/viewall?acceleratorid=3008"
"109","NMotion","Lincoln, NE US",12,"$                   0","$             330,000","$              27,500","http://www.seed-db.com/accelerators/viewall?acceleratorid=589004"
"110","Nxtp.labs","Buenos Aires AR",73,"$                 500","$          55,417,727","$             759,146","http://www.seed-db.com/accelerators/viewall?acceleratorid=5005"
"111","NYC SeedStart","New York, NY US",21,"$         130,000,000","$         172,176,000","$           8,198,857","http://www.seed-db.com/accelerators/viewall?acceleratorid=7004"
"112","Oasis 500","Jordan JO",0,"$                   0","$                   0","","http://www.seed-db.com/accelerators/viewall?acceleratorid=4004"
"113","Open Education Challenge","pan-EMEA EU",0,"$                   0","$                   0","","http://www.seed-db.com/accelerators/viewall?acceleratorid=6600237439254528"
"114","OpenFund","Athens GR",8,"$          40,000,000","$           8,028,530","$           1,003,566","http://www.seed-db.com/accelerators/viewall?acceleratorid=5006"
"115","Orange Fab","Worldwide N/A",20,"$                   0","$          83,082,896","$           4,154,144","http://www.seed-db.com/accelerators/viewall?acceleratorid=5508616203272192"
"116","Oxygen Accelerator","Birmingham, England UK",24,"$                   0","$           4,229,347","$             176,222","http://www.seed-db.com/accelerators/viewall?acceleratorid=6009"
"117","Plarium Labs","Hertzeliya IL",0,"$                   0","$                   0","","http://www.seed-db.com/accelerators/viewall?acceleratorid=116001"
"118","Plug and Play Startup Camp","Silicon Valley, CA US",0,"$                   0","$                   0","","http://www.seed-db.com/accelerators/viewall?acceleratorid=83002"
"119","Portland Incubator Experiment (PIE)","Portland, OR US",30,"$           5,600,000","$         140,215,303","$           4,673,843","http://www.seed-db.com/accelerators/viewall?acceleratorid=8006"
"120","Portland Seed Fund","Portland, OR US",23,"$                   0","$          70,166,831","$           3,050,731","http://www.seed-db.com/accelerators/viewall?acceleratorid=1008"
"121","Project Skyway","Minneapolis, MN US",9,"$                   0","$           1,530,000","$             170,000","http://www.seed-db.com/accelerators/viewall?acceleratorid=222002"
"122","Propeller Venture Accelerator","Dublin IE",41,"$                   0","$           6,584,964","$             160,608","http://www.seed-db.com/accelerators/viewall?acceleratorid=8007"
"123","ProSiebenSat.1 Accelerator","Munich DE",13,"$                   0","$              32,524","$               2,501","http://www.seed-db.com/accelerators/viewall?acceleratorid=6296967114129408"
"124","Prosper Capital Accelerator","St. Louis, MO US",6,"$                   0","$           2,169,000","$             361,500","http://www.seed-db.com/accelerators/viewall?acceleratorid=5764593871749120"
"125","Pushstart Accelerator","Sydney AU",8,"$                   0","$           1,771,957","$             221,494","http://www.seed-db.com/accelerators/viewall?acceleratorid=3009"
"126","RockHealth","San Francisco, CA US",49,"$             500,000","$         317,521,698","$           6,480,034","http://www.seed-db.com/accelerators/viewall?acceleratorid=8008"
"127","Rockstart Accelerator","Amsterdam NL",39,"$                   0","$          35,206,234","$             902,723","http://www.seed-db.com/accelerators/viewall?acceleratorid=68018"
"128","Searchcamp","Middlesbrough UK",6,"$             400,000","$              15,230","$               2,538","http://www.seed-db.com/accelerators/viewall?acceleratorid=924002"
"129","Seed Hatchery","Memphis, TN US",18,"$                   0","$           2,754,302","$             153,016","http://www.seed-db.com/accelerators/viewall?acceleratorid=1030003"
"130","Seedcamp","London UK",118,"$         137,000,000","$         315,830,900","$           2,676,533","http://www.seed-db.com/accelerators/viewall?acceleratorid=4005"
"131","Seedrocket","Barcelona ES",37,"$                   0","$          65,912,477","$           1,781,418","http://www.seed-db.com/accelerators/viewall?acceleratorid=6010"
"132","SeedStartup","Dubai AE",7,"$                   0","$           7,050,000","$           1,007,142","http://www.seed-db.com/accelerators/viewall?acceleratorid=3010"
"133","SeedSumo","College Station, TX US",17,"$                   0","$           2,388,500","$             140,500","http://www.seed-db.com/accelerators/viewall?acceleratorid=5955001"
"134","Seeqnce","Beirut LB",0,"$                   0","$                   0","","http://www.seed-db.com/accelerators/viewall?acceleratorid=100003"
"135","Shotput Ventures","Atlanta, Georgia US",9,"$           2,000,000","$             257,500","$              28,611","http://www.seed-db.com/accelerators/viewall?acceleratorid=2008"
"136","SixThirty","St. Louis, MO US",15,"$                   0","$          46,698,274","$           3,113,218","http://www.seed-db.com/accelerators/viewall?acceleratorid=5643944717189120"
"137","Socratic Labs","New York, NY US",7,"$                   0","$           1,135,000","$             162,142","http://www.seed-db.com/accelerators/viewall?acceleratorid=941001"
"138","Spark Lab KC","Kansas City, MO US",10,"$                   0","$           1,662,000","$             166,200","http://www.seed-db.com/accelerators/viewall?acceleratorid=5649952705347584"
"139","Sparkgap","Memphis, TN US",0,"$                   0","$                   0","","http://www.seed-db.com/accelerators/viewall?acceleratorid=4738503199948800"
"140","SparkLabs","Seoul KR",16,"$                   0","$          26,463,506","$           1,653,969","http://www.seed-db.com/accelerators/viewall?acceleratorid=145006"
"141","Springboard","London UK",25,"$          32,000,000","$         135,463,901","$           5,418,556","http://www.seed-db.com/accelerators/viewall?acceleratorid=94004"
"142","Springboard - Internet of Things","Cambridge UK",7,"$                   0","$           1,669,331","$             238,475","http://www.seed-db.com/accelerators/viewall?acceleratorid=273007"
"143","StartEngine","Los Angeles, CA US",34,"$                   0","$           6,916,000","$             203,411","http://www.seed-db.com/accelerators/viewall?acceleratorid=101001"
"144","StartFast Venture Accelerator","Syracuse, NY US",13,"$                   0","$           4,078,000","$             313,692","http://www.seed-db.com/accelerators/viewall?acceleratorid=5007"
"145","Startl","New York, NY US",0,"$                   0","$                   0","","http://www.seed-db.com/accelerators/viewall?acceleratorid=7005"
"146","Startmate","Sydney AU",46,"$           5,000,000","$          74,593,614","$           1,621,600","http://www.seed-db.com/accelerators/viewall?acceleratorid=142002"
"147","Startup Wise Guys","Tallinn EE",24,"$                   0","$           5,627,577","$             234,482","http://www.seed-db.com/accelerators/viewall?acceleratorid=3011"
"148","Startupbootcamp","Worldwide N/A",140,"$                   0","$          50,987,926","$             364,199","http://www.seed-db.com/accelerators/viewall?acceleratorid=7006"
"149","StartupHighway","Vilnius LT",18,"$                   0","$             944,492","$              52,471","http://www.seed-db.com/accelerators/viewall?acceleratorid=123003"
"150","StartupReykjavik","Reykjavik IS",20,"$                   0","$           3,340,156","$             167,007","http://www.seed-db.com/accelerators/viewall?acceleratorid=92001"
"151","StartupYard","Prague CZ",22,"$             340,000","$           4,173,728","$             189,714","http://www.seed-db.com/accelerators/viewall?acceleratorid=126005"
"152","Straight Shot","Omaha, NE US",21,"$                   0","$           4,585,200","$             218,342","http://www.seed-db.com/accelerators/viewall?acceleratorid=5709156346494976"
"153","Summer @ Highland","Cambridge, MA; Menlo Park, CA US",0,"$                   0","$                   0","","http://www.seed-db.com/accelerators/viewall?acceleratorid=1009"
"154","SURGE","Houston, TX US",22,"$                   0","$          31,604,500","$           1,436,568","http://www.seed-db.com/accelerators/viewall?acceleratorid=5008"
"155","SynBio axlr8r","Cork IE",5,"$                   0","$           2,640,000","$             528,000","http://www.seed-db.com/accelerators/viewall?acceleratorid=5727230776836096"
"156","Tandem","Silicon Valley, CA US",0,"$                   0","$                   0","","http://www.seed-db.com/accelerators/viewall?acceleratorid=278011"
"157","Tech Wildcatters","Dallas, TX US",26,"$                   0","$          22,420,109","$             862,311","http://www.seed-db.com/accelerators/viewall?acceleratorid=8009"
"158","Techstars","Worldwide N/A",921,"$         334,800,000","$       3,968,704,651","$           4,309,125","http://www.seed-db.com/accelerators/viewall?acceleratorid=3012"
"159","Telluride Venture Accelerator","Telluride, CO US",15,"$                   0","$           9,662,835","$             644,189","http://www.seed-db.com/accelerators/viewall?acceleratorid=264002"
