"","fip","link_fip","file"
"242","C4266","http://www.bls.gov/cew/data/api/2013/1/area/C4266.csv","downloads/_C4266_2_.csv"
"243","C4266","http://www.bls.gov/cew/data/api/2014/1/area/C4266.csv","downloads/_C4266_3_.csv"
"244","C4266","http://www.bls.gov/cew/data/api/2015/1/area/C4266.csv","downloads/_C4266_4_.csv"
"245","C4266","http://www.bls.gov/cew/data/api/2016/1/area/C4266.csv","downloads/_C4266_5_.csv"
"246","C4266","http://www.bls.gov/cew/data/api/2012/2/area/C4266.csv","downloads/_C4266_6_.csv"
"247","C4266","http://www.bls.gov/cew/data/api/2013/2/area/C4266.csv","downloads/_C4266_7_.csv"
"248","C4266","http://www.bls.gov/cew/data/api/2014/2/area/C4266.csv","downloads/_C4266_8_.csv"
"249","C4266","http://www.bls.gov/cew/data/api/2015/2/area/C4266.csv","downloads/_C4266_9_.csv"
"250","C4266","http://www.bls.gov/cew/data/api/2016/2/area/C4266.csv","downloads/_C4266_10_.csv"
"251","C4266","http://www.bls.gov/cew/data/api/2012/3/area/C4266.csv","downloads/_C4266_11_.csv"
"252","C4266","http://www.bls.gov/cew/data/api/2013/3/area/C4266.csv","downloads/_C4266_12_.csv"
"253","C4266","http://www.bls.gov/cew/data/api/2014/3/area/C4266.csv","downloads/_C4266_13_.csv"
"254","C4266","http://www.bls.gov/cew/data/api/2015/3/area/C4266.csv","downloads/_C4266_14_.csv"
"255","C4266","http://www.bls.gov/cew/data/api/2016/3/area/C4266.csv","downloads/_C4266_15_.csv"
"256","C4266","http://www.bls.gov/cew/data/api/2012/4/area/C4266.csv","downloads/_C4266_16_.csv"
"257","C4266","http://www.bls.gov/cew/data/api/2013/4/area/C4266.csv","downloads/_C4266_17_.csv"
"258","C4266","http://www.bls.gov/cew/data/api/2014/4/area/C4266.csv","downloads/_C4266_18_.csv"
"259","C4266","http://www.bls.gov/cew/data/api/2015/4/area/C4266.csv","downloads/_C4266_19_.csv"
"260","C4266","http://www.bls.gov/cew/data/api/2016/4/area/C4266.csv","downloads/_C4266_20_.csv"
