"area_fips","state","city","state_name","city_state","msa_states","msa_cities","area_title"
"C3806","AZ","Phoenix","Arizona","Phoenix AZ","AZ","Phoenix","Phoenix-Mesa-Scottsdale, AZ MSA"
"C3806","AZ","Phoenix","Arizona","Phoenix AZ","AZ","Scottsdale","Phoenix-Mesa-Scottsdale, AZ MSA"
"C3890","OR","Portland","Oregon","Portland OR","OR","Portland","Portland-Vancouver-Hillsboro, OR-WA MSA"
"C3890","OR","Portland","Oregon","Portland OR","OR","Vancouver","Portland-Vancouver-Hillsboro, OR-WA MSA"
"C3890","OR","Portland","Oregon","Portland OR","OR","Hillsboro","Portland-Vancouver-Hillsboro, OR-WA MSA"
"C3890","OR","Portland","Oregon","Portland OR","WA","Vancouver","Portland-Vancouver-Hillsboro, OR-WA MSA"
"C3890","OR","Portland","Oregon","Portland OR","WA","Hillsboro","Portland-Vancouver-Hillsboro, OR-WA MSA"
"C3890","OR","Portland","Oregon","Portland OR","WA","Portland","Portland-Vancouver-Hillsboro, OR-WA MSA"
"C4186","CA","San Francisco","California","San Francisco CA","CA","San Francisco","San Francisco-Oakland-Hayward, CA MSA"
"C4186","CA","San Francisco","California","San Francisco CA","CA","Oakland","San Francisco-Oakland-Hayward, CA MSA"
"C4186","CA","San Francisco","California","San Francisco CA","CA","Hayward","San Francisco-Oakland-Hayward, CA MSA"
"C4266","WA","Seattle","Washington","Seattle WA","WA","Seattle","Seattle-Tacoma-Bellevue, WA MSA"
"C4266","WA","Seattle","Washington","Seattle WA","WA","Tacoma","Seattle-Tacoma-Bellevue, WA MSA"
"C4266","WA","Seattle","Washington","Seattle WA","WA","Bellevue","Seattle-Tacoma-Bellevue, WA MSA"
