"area_fips","area_title","area_descr","msa_state","msa","msa_states","msa_cities"
"C4414","Springfield, MA MSA","Springfield","MA","MSA","MA","Springfield"
"C4418","Springfield, MO MSA","Springfield","MO","MSA","MO","Springfield"
"C4422","Springfield, OH MSA","Springfield","OH","MSA","OH","Springfield"
"C4430","State College, PA MSA","State College","PA","MSA","PA","State College"
"C4442","Staunton-Waynesboro, VA MSA","Staunton-Waynesboro","VA","MSA","VA","Staunton"
"C4442","Staunton-Waynesboro, VA MSA","Staunton-Waynesboro","VA","MSA","VA","Waynesboro"
"C4470","Stockton-Lodi, CA MSA","Stockton-Lodi","CA","MSA","CA","Stockton"
"C4470","Stockton-Lodi, CA MSA","Stockton-Lodi","CA","MSA","CA","Lodi"
"C4494","Sumter, SC MSA","Sumter","SC","MSA","SC","Sumter"
"C4506","Syracuse, NY MSA","Syracuse","NY","MSA","NY","Syracuse"
"C4522","Tallahassee, FL MSA","Tallahassee","FL","MSA","FL","Tallahassee"
"C4530","Tampa-St. Petersburg-Clearwater, FL MSA","Tampa-St. Petersburg-Clearwater","FL","MSA","FL","Tampa"
"C4530","Tampa-St. Petersburg-Clearwater, FL MSA","Tampa-St. Petersburg-Clearwater","FL","MSA","FL","St. Petersburg"
"C4530","Tampa-St. Petersburg-Clearwater, FL MSA","Tampa-St. Petersburg-Clearwater","FL","MSA","FL","Clearwater"
"C4546","Terre Haute, IN MSA","Terre Haute","IN","MSA","IN","Terre Haute"
"C4550","Texarkana, TX-AR MSA","Texarkana","TX-AR","MSA","TX","Texarkana"
"C4550","Texarkana, TX-AR MSA","Texarkana","TX-AR","MSA","AR","Texarkana"
"C4554","The Villages, FL MSA","The Villages","FL","MSA","FL","The Villages"
"C4578","Toledo, OH MSA","Toledo","OH","MSA","OH","Toledo"
"C4582","Topeka, KS MSA","Topeka","KS","MSA","KS","Topeka"
"C4594","Trenton, NJ MSA","Trenton","NJ","MSA","NJ","Trenton"
"C4606","Tucson, AZ MSA","Tucson","AZ","MSA","AZ","Tucson"
"C4614","Tulsa, OK MSA","Tulsa","OK","MSA","OK","Tulsa"
"C4622","Tuscaloosa, AL MSA","Tuscaloosa","AL","MSA","AL","Tuscaloosa"
"C4634","Tyler, TX MSA","Tyler","TX","MSA","TX","Tyler"
"C4652","Urban Honolulu, HI MSA","Urban Honolulu","HI","MSA","HI","Urban Honolulu"
"C4654","Utica-Rome, NY MSA","Utica-Rome","NY","MSA","NY","Utica"
"C4654","Utica-Rome, NY MSA","Utica-Rome","NY","MSA","NY","Rome"
"C4666","Valdosta, GA MSA","Valdosta","GA","MSA","GA","Valdosta"
"C4670","Vallejo-Fairfield, CA MSA","Vallejo-Fairfield","CA","MSA","CA","Vallejo"
"C4670","Vallejo-Fairfield, CA MSA","Vallejo-Fairfield","CA","MSA","CA","Fairfield"
"C4694","Vero Beach, FL MSA","Vero Beach","FL","MSA","FL","Vero Beach"
"C4702","Victoria, TX MSA","Victoria","TX","MSA","TX","Victoria"
"C4722","Vineland-Bridgeton, NJ MSA","Vineland-Bridgeton","NJ","MSA","NJ","Vineland"
"C4722","Vineland-Bridgeton, NJ MSA","Vineland-Bridgeton","NJ","MSA","NJ","Bridgeton"
