"area_fips","area_title","area_descr","msa_state","msa","msa_states","msa_cities"
"C1670","Charleston-North Charleston, SC MSA","Charleston-North Charleston","SC","MSA","SC","Charleston"
"C1670","Charleston-North Charleston, SC MSA","Charleston-North Charleston","SC","MSA","SC","North Charleston"
"C1674","Charlotte-Concord-Gastonia, NC-SC MSA","Charlotte-Concord-Gastonia","NC-SC","MSA","NC","Charlotte"
"C1674","Charlotte-Concord-Gastonia, NC-SC MSA","Charlotte-Concord-Gastonia","NC-SC","MSA","NC","Concord"
"C1674","Charlotte-Concord-Gastonia, NC-SC MSA","Charlotte-Concord-Gastonia","NC-SC","MSA","NC","Gastonia"
"C1674","Charlotte-Concord-Gastonia, NC-SC MSA","Charlotte-Concord-Gastonia","NC-SC","MSA","SC","Charlotte"
"C1674","Charlotte-Concord-Gastonia, NC-SC MSA","Charlotte-Concord-Gastonia","NC-SC","MSA","SC","Concord"
"C1674","Charlotte-Concord-Gastonia, NC-SC MSA","Charlotte-Concord-Gastonia","NC-SC","MSA","SC","Gastonia"
"C1682","Charlottesville, VA MSA","Charlottesville","VA","MSA","VA","Charlottesville"
"C1686","Chattanooga, TN-GA MSA","Chattanooga","TN-GA","MSA","TN","Chattanooga"
"C1686","Chattanooga, TN-GA MSA","Chattanooga","TN-GA","MSA","GA","Chattanooga"
"C1694","Cheyenne, WY MSA","Cheyenne","WY","MSA","WY","Cheyenne"
"C1698","Chicago-Naperville-Elgin, IL-IN-WI MSA","Chicago-Naperville-Elgin","IL-IN-WI","MSA","IL","Chicago"
"C1698","Chicago-Naperville-Elgin, IL-IN-WI MSA","Chicago-Naperville-Elgin","IL-IN-WI","MSA","IL","Naperville"
"C1698","Chicago-Naperville-Elgin, IL-IN-WI MSA","Chicago-Naperville-Elgin","IL-IN-WI","MSA","IL","Elgin"
"C1698","Chicago-Naperville-Elgin, IL-IN-WI MSA","Chicago-Naperville-Elgin","IL-IN-WI","MSA","IN","Chicago"
"C1698","Chicago-Naperville-Elgin, IL-IN-WI MSA","Chicago-Naperville-Elgin","IL-IN-WI","MSA","IN","Naperville"
